"X","dn0_lo10","dn0_med","dn0_up90","rn0_lo10","rn0_med","rn0_up90","gamman_lo10","gamman_med","gamman_up90","bioassay_mortality","resistance","NetType","X.1","X.Key.note"
35,0.406055707,0.464773023,0.517751913,0.479420901,0.528978037,0.581917833,2.168692854,2.326078111,2.472158892,0.66,0.34,"PyPBONets",NA,NA
36,0.404068791,0.463629838,0.516926691,0.480202757,0.530031164,0.583662134,2.153409704,2.313699785,2.465837308,0.65,0.35,"PyPBONets",NA,NA
37,0.402553057,0.462782985,0.516111148,0.480975168,0.530810808,0.584990417,2.13847639,2.300925389,2.45940459,0.64,0.36,"PyPBONets",NA,NA
38,0.401641008,0.461580107,0.515274172,0.481767592,0.531917478,0.58578867,2.119889527,2.288677505,2.453212943,0.63,0.37,"PyPBONets",NA,NA
39,0.400419566,0.46054381,0.514351772,0.482640571,0.53287019,0.586856513,2.10127185,2.276566227,2.446936476,0.62,0.38,"PyPBONets",NA,NA
40,0.398402781,0.459365454,0.513383115,0.483556949,0.533952708,0.588616714,2.08128968,2.26413278,2.440572819,0.61,0.39,"PyPBONets",NA,NA
41,0.396812069,0.45813067,0.512474949,0.48441574,0.535086153,0.590002359,2.061663065,2.250806754,2.434119501,0.6,0.4,"PyPBONets",NA,NA
42,0.395505122,0.45716463,0.511802004,0.485051878,0.535972237,0.591139067,2.042996826,2.237719187,2.427551443,0.59,0.41,"PyPBONets",NA,NA
43,0.393756779,0.455676564,0.510758052,0.486038349,0.537336038,0.592657115,2.02551454,2.224677931,2.420502222,0.58,0.42,"PyPBONets",NA,NA
44,0.39130393,0.454271873,0.509685365,0.487051492,0.538622136,0.594781933,2.007905145,2.211827777,2.412119635,0.57,0.43,"PyPBONets",NA,NA
45,0.388759875,0.452834545,0.50855538,0.488118218,0.539936814,0.596979554,1.990171373,2.198405363,2.403445519,0.56,0.44,"PyPBONets",NA,NA
46,0.38679973,0.451043864,0.507692913,0.488932035,0.541572839,0.598668404,1.972316222,2.184483681,2.394832663,0.55,0.45,"PyPBONets",NA,NA
47,0.384951663,0.449610343,0.506368975,0.490180658,0.54288105,0.600257148,1.954342965,2.169784426,2.386535043,0.54,0.46,"PyPBONets",NA,NA
48,0.382739565,0.447861949,0.504976574,0.491493022,0.544474781,0.602154286,1.936255162,2.155572406,2.377372448,0.53,0.47,"PyPBONets",NA,NA
49,0.380242709,0.44621825,0.503671762,0.492722051,0.545971226,0.60428957,1.918056676,2.141699274,2.368147873,0.52,0.48,"PyPBONets",NA,NA
50,0.377887362,0.444615259,0.502399931,0.493919283,0.547428859,0.606297843,1.899544118,2.12674326,2.359969456,0.51,0.49,"PyPBONets",NA,NA
51,0.375404404,0.442167545,0.501088185,0.495153323,0.54965124,0.608408502,1.880006603,2.111679567,2.35237359,0.5,0.5,"PyPBONets",NA,NA
52,0.372732846,0.440395196,0.499807929,0.496356982,0.55125785,0.610672043,1.860593193,2.096246108,2.344592456,0.49,0.51,"PyPBONets",NA,NA
53,0.371050132,0.438648674,0.498691169,0.497406311,0.552838897,0.61209371,1.84156554,2.080315284,2.336527344,0.48,0.52,"PyPBONets",NA,NA
54,0.36868492,0.436621165,0.497487338,0.49853681,0.554671595,0.614086742,1.82260666,2.0653017,2.327036712,0.47,0.53,"PyPBONets",NA,NA
55,0.365871884,0.434589081,0.495933896,0.499994617,0.556505466,0.616448875,1.802961285,2.049961694,2.318367207,0.46,0.54,"PyPBONets",NA,NA
56,0.36368961,0.432933948,0.493801102,0.501994248,0.557996932,0.618275018,1.778888617,2.034439385,2.309609552,0.45,0.55,"PyPBONets",NA,NA
57,0.360811453,0.431165912,0.492536659,0.503178714,0.559587908,0.620675073,1.7575186,2.018796002,2.29971117,0.44,0.56,"PyPBONets",NA,NA
58,0.358504761,0.429418198,0.49051925,0.505066913,0.561158305,0.622591437,1.739029794,2.002433404,2.289562495,0.43,0.57,"PyPBONets",NA,NA
59,0.356088116,0.427627908,0.488745749,0.506725177,0.562764562,0.624592304,1.716590809,1.984848805,2.279200134,0.42,0.58,"PyPBONets",NA,NA
60,0.353714008,0.425360407,0.486903974,0.508445619,0.56479547,0.626550941,1.698111815,1.969733799,2.269904765,0.41,0.59,"PyPBONets",NA,NA
61,0.350631146,0.423055326,0.485053888,0.5101721,0.566855935,0.629083868,1.677028447,1.953045957,2.260426972,0.4,0.6,"PyPBONets",NA,NA
62,0.347397964,0.42066898,0.483244857,0.511858578,0.568984639,0.631727336,1.657599681,1.935949752,2.249684858,0.39,0.61,"PyPBONets",NA,NA
